Company,Symbol,Exchange,Structure,Sectors,Industry Groups,Industries,Sub-Industries,Domicile Country,Workforce Size,Annual Revenue,Workforce Representation
CME Group,CME,NASDAQ,Public,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,United States,"1,000 - 4,999 employees","$5,000,000,001 - $10,000,000,000",None
DocGo,DCGO,NASDAQ,Public,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services,United States,"1,000 - 4,999 employees","Less than $500,000,000",None
"Premier, Inc.",PINC,NASDAQ,Public,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology,United States,"1,000 - 4,999 employees","$1,000,000,001 - $5,000,000,000",None
TrueBlue Inc.,TBI,NYSE,Public,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,United States,"1,000 - 4,999 employees","$1,000,000,001 - $5,000,000,000",None
A.O. Smith,AOS,NYSE,Public,Industrials,Capital Goods,Building Products,Building Products,United States,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",31-40 percent
"Aflac, Inc.",AFL,NYSE,Public,Financials,Insurance,Insurance,Life & Health Insurance,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",None
"Assurant, Inc.",AIZ,NYSE,Public,Financials,Insurance,Insurance,Property & Casualty Insurance,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",1-10 percent
Autodesk Inc.,ADSK,NASDAQ,Public,Information Technology,Software & Services,Software,Application Software,United States,"10,000 - 14,999 employees","$5,000,000,001 - $10,000,000,000",1-10 percent
CHS Inc.,CHSCP,NASDAQ,Cooperative,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services,United States,"10,000 - 14,999 employees","$50,000,000,001 - $75,000,000,000",1-10 percent
"Energias de Portugal, SA (EDP)",EDP,Euronext Lisbon,Public,Utilities,Utilities,Electric Utilities,Electric Utilities,Portugal,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",31-40 percent
Fortive Corp.,FTV,NYSE,Public,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,United States,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",1-10 percent
