,Stock Exchange,NYS,NYS,NYS,NYS,NYS,NAS,NAS,PAR,NYS,NYS,NAS,NYS,JP,NYS,NAS,NAS,PAR,PAR,NYS,NYS,NYS,JP,MCE,NAS,NAS,NAS,KR,NAS,NYS,NYS,NYS,NYS,NYS,NYS,NYS,NYS,NYS,NYS,NYS,LON,NAS,NAS,NYS,NYS,NAS,NYS,NSE,NAS,NYS,NYS,NYS,NYS,SWX,NYS,NYS,NAS,NYS,NYS,NAS,NAS,NYS,HEL,NYS,NYS,NAS,NYS,PAR,NYS,NYS,NYS,NYS,JP,NYS,NAS,NYS,NYS,NYS,NYS,LIS,NAS,NYS,NYS,NAS,NYS,NYS,NYS,NYS,NAS,NYS,NYS,PAR,NYS,NYS,NYS,NYS,MX,NAS,TSE,NYS,NYS,NYS,NYS,NYS,NYS,NAS,NYS,BR,BSP,MEX,NAS,NAS,NYS,NYS
,Ticker,LLY,V,MA,CRM,IBM,LIN,PEP,OR,ACN,VZ,AMGN,NOW,6758,PFE,GILD,HON,SAN,SU,DE,MDT,ETN,6501,IBE,INTC,MU,CME,000660,LRCX,WM,HCA,INFY,CL,RSG,TT,ECL,BMO,USB,AFL,FDX,CPG,ADSK,PAYX,RCL,ALL,MRVL,JCI,HCLTECH,WDAY,GWW,KMB,ALC,GM,LONN,CMI,TEL,XEL,PRU,CBRE,CTSH,HIG,DELL,NOKIA,ROK,IP,FITB,HPQ,CAP,FTV,ADM,ZBH,HPE,4452,LH,PFG,HUBB,LDOS,BBY,UNM,EDP,WDC,APTV,BAH,FLEX,SJM,ACM,JLL,AIZ,LECO,BG,MGA,SW,AES,G,INGR,NVT,CemexCPO,HSIC,ATRL,GPK,AOS,PSN,LNC,OSK,TKR,ITRI,LEA,MOTV3,NATU3,BIMBOA,GT,PINC,SIG,CRI
,Original Company name,Eli Lily and Company,Visa,Mastercard Incorporated Class A,"Salesforce, Inc.",International Business Machines Corporation,LIN-NAS,"PepsiCo, Inc.",L'Oreal S.A.,Accenture Plc Class A,Verizon Communications Inc.,Amgen Inc.,"ServiceNow, Inc.",Sony Group Corporation,Pfizer Inc.,"Gilead Sciences, Inc.",Honeywell International Inc.,Sanofi SA,Schneider Electric SE,Deere & Company,Medtronic Plc,Eaton Corp. Plc,"Hitachi, Ltd.",Iberdrola SA,Intel Corporation,"Micron Technology, Inc.",CME Group Inc. Class A,SK hynix Inc.,Lam Research Corporation,"Waste Management, Inc.",HCA Healthcare Inc,Infosys Limited Sponsored ADR,Colgate-Palmolive Company,"Republic Services, Inc.",Trane Technologies plc,Ecolab Inc.,Bank of Montreal,U.S. Bancorp,Aflac Incorporated,FedEx Corporation,Compass Group PLC,"Autodesk, Inc.","Paychex, Inc.",Royal Caribbean Group,Allstate Corporation,"Marvell Technology, Inc.",Johnson Controls International plc,HCL Technologies Limited,"Workday, Inc. Class A","W.W. Grainger, Inc.",Kimberly-Clark Corporation,Alcon AG,General Motors Company,Lonza Group AG,Cummins Inc.,TE Connectivity plc,Xcel Energy Inc.,"Prudential Financial, Inc.","CBRE Group, Inc. Class A",Cognizant Technology Solutions Corporation Class A,"Hartford Insurance Group, Inc.","Dell Technologies, Inc. Class C",Nokia Oyj,"Rockwell Automation, Inc.",International Paper Company,Fifth Third Bancorp,HP Inc.,Capgemini SE,Fortive Corp.,Archer-Daniels-Midland Company,"Zimmer Biomet Holdings, Inc.",Hewlett Packard Enterprise Co.,Kao Corporation,Labcorp Holdings Inc.,"Principal Financial Group, Inc.",Hubbell Incorporated,"Leidos Holdings, Inc.","Best Buy Co., Inc.",Unum Group,EDP S.A.,Western Digital Corporation,Aptiv PLC,Booz Allen Hamilton Holding Corporation Class A,Flex Ltd,J.M. Smucker Company,AECOM,Jones Lang LaSalle Incorporated,"Assurant, Inc.","Lincoln Electric Holdings, Inc.",Bunge Global SA,Magna International Inc.,Sodexo SA,AES Corporation,Genpact Limited,Ingredion Incorporated,nVent Electric plc,Cemex SAB de CV Cert Part Ord Repr 2 ShsA & 1 ShsB,"Henry Schein, Inc.",Atkinsrealis Group Inc.,Graphic Packaging Holding Company,A. O. Smith Corporation,Parsons Corporation,Lincoln National Corp,Oshkosh Corp,Timken Company,"Itron, Inc.",Lear Corporation,Motiva Infraestrutura de Mobilidade SA,Natura Cosmeticos SA,Grupo Bimbo SAB de CV Class A,Goodyear Tire & Rubber Company,"Premier, Inc. Class A",Signet Jewelers Limited,Carter's Incorporated
,Provided Exchange:Ticker,NYS:LLY,NYS:V,NYS:MA,NYS:CRM,NYS:IBM,NAS:LIN,NAS:PEP,PAR:OR,NYS:ACN,NYS:VZ,NAS:AMGN,NYS:NOW,JP:6758,NYS:PFE,NAS:GILD,NAS:HON,PAR:SAN,PAR:SU,NYS:DE,NYS:MDT,NYS:ETN,JP:6501,MCE:IBE,NAS:INTC,NAS:MU,NAS:CME,KR:000660,NAS:LRCX,NYS:WM,NYS:HCA,NYS:INFY,NYS:CL,NYS:RSG,NYS:TT,NYS:ECL,NYS:BMO,NYS:USB,NYS:AFL,NYS:FDX,LON:CPG,NAS:ADSK,NAS:PAYX,NYS:RCL,NYS:ALL,NAS:MRVL,NYS:JCI,NSE:HCLTECH,NAS:WDAY,NYS:GWW,NYS:KMB,NYS:ALC,NYS:GM,SWX:LONN,NYS:CMI,NYS:TEL,NAS:XEL,NYS:PRU,NYS:CBRE,NAS:CTSH,NAS:HIG,NYS:DELL,HEL:NOKIA,NYS:ROK,NYS:IP,NAS:FITB,NYS:HPQ,PAR:CAP,NYS:FTV,NYS:ADM,NYS:ZBH,NYS:HPE,JP:4452,NYS:LH,NAS:PFG,NYS:HUBB,NYS:LDOS,NYS:BBY,NYS:UNM,LIS:EDP,NAS:WDC,NYS:APTV,NYS:BAH,NAS:FLEX,NYS:SJM,NYS:ACM,NYS:JLL,NYS:AIZ,NAS:LECO,NYS:BG,NYS:MGA,PAR:SW,NYS:AES,NYS:G,NYS:INGR,NYS:NVT,MX:CemexCPO,NAS:HSIC,TSE:ATRL,NYS:GPK,NYS:AOS,NYS:PSN,NYS:LNC,NYS:OSK,NYS:TKR,NAS:ITRI,NYS:LEA,BR:MOTV3,BSP:NATU3,MEX:BIMBOA,NAS:GT,NAS:PINC,NYS:SIG,NYS:CRI
,Quick Match Company Name,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,Quick Match Company ID,#No Results Found,Quick Match Company ID,#No Results Found,Quick Match Company ID,Quick Match Company ID
,Result,4059821,4163620,4073702,4205848,4000193,4062407,4004166,4199027,4142760,4057229,4092820,4587650,4064672,3009080,4135343,4121346,4404124,4203999,114526,4806212,4991395,4043641,4102079,4025746,4133530,4054016,4724225,4069378,4063852,4283738,4074634,4004173,4102003,4402486,4051243,100518,4047176,103316,4379438,4334416,4208149,4070114,4980858,103247,4135600,5234450,4094428,4057757,4071818,4060881,5017863,4272273,4094797,4074303,4558889,4025308,4072932,4025774,4222286,103647,4625099,4166922,4095448,4060689,100260,105223,4162376,4992262,4044801,4812735,4641383,4248266,4069312,110230,4992018,4276840,4095864,103324,4098512,4071659,4306801,4963866,4122208,4912995,4509697,113071,4090153,4992787,4500439,4133699,4236752,4055465,4167663,4059483,10498680,4059821,4811795,4194014,4239834,4020605,4241013,103362,4399014,4645763,4092673,4014818,4671648,4911614,4059821,4060262,4991215,4094676,4436011
,CAPIQ Ticker:Exchange (to check that it matches Provided Exchange:Ticker),NYSE:LLY,NYSE:V,NYSE:MA,NYSE:CRM,NYSE:IBM,NASDAQGS:LIN,NASDAQGS:PEP,ENXTPA:OR,NYSE:ACN,NYSE:VZ,NASDAQGS:AMGN,NYSE:NOW,TSE:6758,NYSE:PFE,NASDAQGS:GILD,NASDAQGS:HON,ENXTPA:SAN,ENXTPA:SU,NYSE:DE,NYSE:MDT,NYSE:ETN,TSE:6501,BME:IBE,NASDAQGS:INTC,NASDAQGS:MU,NASDAQGS:CME,KOSE:A000660,NASDAQGS:LRCX,NYSE:WM,NYSE:HCA,NSEI:INFY,NYSE:CL,NYSE:RSG,NYSE:TT,NYSE:ECL,TSX:BMO,NYSE:USB,NYSE:AFL,NYSE:FDX,LSE:CPG,NASDAQGS:ADSK,NASDAQGS:PAYX,NYSE:RCL,NYSE:ALL,NASDAQGS:MRVL,NYSE:JCI,NSEI:HCLTECH,NASDAQGS:NDAQ,NYSE:GWW,NASDAQGS:KMB,SWX:ALC,NYSE:GM,SWX:LONN,NYSE:CMI,NYSE:TEL,NASDAQGS:XEL,NYSE:PRU,NYSE:CBRE,NASDAQGS:CTSH,NYSE:HIG,NYSE:DELL,HLSE:NOKIA,NYSE:ROK,NYSE:IP,NASDAQGS:FITB,NYSE:HPQ,ENXTPA:CAP,NYSE:FTV,NYSE:ADM,NYSE:ZBH,NYSE:HPE,TSE:4452,NYSE:LH,NASDAQGS:PFG,NYSE:HUBB,NYSE:LDOS,NYSE:BBY,NYSE:UNM,ENXTLS:EDP,NASDAQGS:WDC,NYSE:APTV,NYSE:BAH,NASDAQGS:FLEX,NYSE:SJM,NYSE:ACM,NYSE:JLL,NYSE:AIZ,NASDAQGS:LECO,NYSE:BG,TSX:MG,ENXTPA:SW,NYSE:AES,NYSE:G,NYSE:INGR,NYSE:NVT,NYSE:LLY,NASDAQGS:HSIC,TSX:ATRL,NYSE:GPK,NYSE:AOS,NYSE:PSN,NYSE:LNC,NYSE:OSK,NYSE:TKR,NASDAQGS:ITRI,NYSE:LEA,BOVESPA:MOTV3,BOVESPA:NATU3,NYSE:LLY,NASDAQGS:GT,SZSE:002300,NYSE:SIG,NYSE:CRI
,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/1/2021,159.96,210.51,346.45,219.86,97.20,245.93,127.11,288.85,240.16,42.80,195.08,110.09,"1,902.36",28.37,48.08,180.07,64.60,107.57,252.06,100.87,110.41,747.77,9.73,45.04,73.35,150.61,"112,379.28",44.72,109.00,157.50,"1,109.60",75.55,90.21,135.92,204.85,77.25,37.60,39.38,235.83,12.53,305.34,80.09,73.40,96.72,46.60,42.04,773.94,41.34,385.74,112.29,58.01,40.18,551.24,200.46,111.31,56.89,60.51,62.72,75.46,43.97,33.84,2.80,229.40,37.57,22.90,20.75,116.33,52.24,43.53,143.50,10.22,"7,043.05",166.63,41.42,143.89,98.48,80.61,19.32,4.09,41.69,130.29,79.13,13.08,97.02,47.87,148.37,124.41,107.80,56.97,75.45,39.16,19.32,38.71,68.47,21.42,159.96,66.86,21.51,15.58,49.85,36.41,38.97,79.13,70.78,95.90,141.37,11.86,50.10,159.96,10.91,5.39,25.66,77.88
,1/4/2021,156.79,209.57,341.16,217.67,95.70,241.54,123.65,289.69,235.79,42.88,192.31,105.37,"1,930.10",28.37,49.61,176.05,64.84,110.70,250.73,99.90,109.13,740.41,9.90,44.90,72.25,148.34,"119,491.89",45.26,106.14,156.71,"1,134.07",74.51,87.63,134.81,202.91,76.62,37.22,38.24,229.99,12.60,296.84,77.66,69.50,95.09,45.39,41.67,798.29,41.11,371.93,111.09,57.57,39.09,548.53,195.40,110.60,56.03,59.22,59.50,73.13,43.36,33.47,2.81,225.43,36.64,22.62,20.34,117.75,50.75,43.06,142.63,9.98,"7,005.05",167.72,40.33,143.22,95.97,81.17,18.61,4.26,39.32,129.51,78.05,13.01,97.04,47.05,142.33,120.66,105.46,57.08,74.56,38.67,19.11,37.89,68.64,20.73,156.79,66.49,21.04,15.54,49.03,34.89,37.82,78.21,69.12,95.65,139.95,11.68,49.62,156.79,10.17,5.49,26.02,76.33
,1/5/2021,157.57,206.45,337.21,218.86,97.40,245.33,124.02,286.72,237.13,42.68,193.24,106.39,"1,955.07",28.66,49.52,176.48,64.84,109.66,256.96,100.70,110.29,751.45,9.74,45.75,75.38,148.19,"123,759.46",46.83,106.49,158.02,"1,138.96",74.68,87.72,136.56,205.04,76.99,37.35,38.31,229.98,12.81,301.70,77.37,71.30,94.34,46.66,42.88,807.20,41.10,373.01,111.21,57.59,40.19,557.64,195.63,112.73,55.49,59.79,59.42,73.35,43.07,33.92,2.85,225.98,37.58,22.94,20.64,116.14,50.53,43.90,145.10,10.16,"6,860.12",170.91,40.75,145.38,96.02,81.58,18.76,4.21,39.94,133.39,78.66,12.96,98.30,48.29,143.32,120.69,106.69,58.55,77.28,39.16,19.75,38.50,68.65,21.42,157.57,67.78,21.28,15.51,49.35,35.20,38.05,79.65,71.20,96.42,142.38,11.49,49.33,157.57,10.64,5.46,27.87,76.86
