Date,Ethics Premium PR,Ethics Premium GTR,SGMACUP Index,SGMACUT Index
1/1/21,1000,1000,1000,1000
1/4/21,991.65,991.7,994.79,994.86
1/5/21,997.19,997.23,1001.46,1001.6
1/6/21,1007.54,1007.69,1007.87,1008.02
1/7/21,1014.59,1015.17,1020.12,1020.36
1/8/21,1019.17,1019.72,1028.55,1028.86
1/11/21,1016.35,1016.93,1020.86,1021.17
1/12/21,1014.87,1015.63,1024.09,1024.42
1/13/21,1018,1018.84,1026.3,1026.65
1/14/21,1015.26,1016.16,1027.93,1028.35
1/15/21,1008.66,1009.59,1018.52,1018.94
1/18/21,1008.11,1009.04,1018.3,1018.75
1/19/21,1017.97,1018.86,1026.79,1027.27
1/20/21,1025.05,1025.85,1037.72,1038.21
1/21/21,1024.82,1025.65,1039.07,1039.61
1/22/21,1015.25,1016.12,1035.29,1035.84
1/25/21,1015.53,1016.44,1036.59,1037.15
1/26/21,1010.78,1011.68,1033.53,1034.1
1/27/21,984.01,984.91,1012.86,1013.42
1/28/21,994.98,996.24,1015.73,1016.35
1/29/21,978.27,979.64,998.3,999
2/1/21,989.57,990.88,1013.36,1014.08
2/2/21,1002.44,1003.66,1026.51,1027.24
2/3/21,1000.8,1002.02,1030.02,1030.76
2/4/21,1014.26,1015.67,1036.33,1037.19
2/5/21,1020.19,1021.6,1043.05,1043.98
2/8/21,1026.51,1027.96,1052.3,1053.25
2/9/21,1022.79,1024.5,1054.45,1055.49
2/10/21,1021.94,1023.64,1056.2,1057.26
2/11/21,1027.53,1029.55,1058.75,1059.95
2/12/21,1032.2,1034.36,1062.49,1063.73
2/15/21,1033.11,1035.26,1066.87,1068.13
2/16/21,1032.22,1034.4,1066.77,1068.15
2/17/21,1030.06,1032.4,1062.35,1063.81
2/18/21,1026.01,1028.39,1055.05,1056.6
2/19/21,1029.16,1031.55,1058.7,1060.31
2/22/21,1026.76,1029.17,1049.95,1051.59
2/23/21,1031.76,1034.18,1049.47,1051.14
2/24/21,1043.85,1046.27,1052.57,1054.29
2/25/21,1026.74,1029.32,1038.73,1040.62
2/26/21,1015.66,1018.25,1024.01,1025.96
3/1/21,1035.06,1037.65,1045.33,1047.37
3/2/21,1031.54,1034.14,1039.23,1041.28
3/3/21,1024.1,1026.84,1032.57,1034.67
3/4/21,1007.58,1010.76,1016.97,1019.42
3/5/21,1026.58,1029.86,1023.11,1025.64
3/8/21,1029.06,1032.42,1018.68,1021.23
3/9/21,1037.34,1040.78,1032.61,1035.28
3/10/21,1045.74,1049.27,1038.17,1040.91
3/11/21,1054.37,1057.83,1052.69,1055.57
3/12/21,1055.99,1059.7,1052.84,1055.87
3/15/21,1058.15,1061.95,1057.18,1060.26
3/16/21,1059.23,1063.08,1057.76,1060.87
3/17/21,1059.94,1063.84,1058.54,1061.72
3/18/21,1052.41,1056.41,1050.11,1053.44
3/19/21,1045.38,1049.43,1047.95,1051.34
3/22/21,1050.61,1054.69,1051.07,1054.48
3/23/21,1038.96,1043.01,1040.47,1043.87
3/24/21,1036.22,1040.3,1030.03,1033.46
3/25/21,1042.02,1046.3,1032.76,1036.35
3/26/21,1063.65,1068,1047.63,1051.34
3/29/21,1061.92,1066.3,1044.85,1048.58
3/30/21,1059.79,1064.47,1045.09,1049.6
3/31/21,1058.49,1063.15,1047.41,1052.02
4/1/21,1068.77,1073.39,1058.94,1063.67
4/2/21,1069.92,1074.53,1059.74,1064.47
4/5/21,1082.26,1086.9,1069.14,1074
4/6/21,1082.24,1086.86,1071.28,1076.23
4/7/21,1081.49,1086.11,1071.29,1076.26
4/8/21,1086.27,1091.41,1076.43,1081.62
4/9/21,1095.29,1100.49,1079.42,1084.69
4/12/21,1092.45,1097.64,1077.38,1082.66
4/13/21,1090.89,1096.07,1080.88,1086.21
4/14/21,1089.75,1095.02,1081.41,1086.84
4/15/21,1100.32,1105.63,1090.46,1096.01
4/16/21,1105.18,1110.52,1095.01,1100.64
4/19/21,1101.29,1106.62,1091.76,1097.54
4/20/21,1094.18,1099.53,1081.55,1087.36
4/21/21,1105.78,1111.18,1086.84,1092.71
4/22/21,1099.4,1104.93,1084.97,1090.95
4/23/21,1103.93,1109.47,1093.84,1099.91
4/26/21,1102.55,1108.08,1099,1105.13
4/27/21,1101.08,1107.04,1097.88,1104.06
4/28/21,1101.36,1107.32,1098.13,1104.39
4/29/21,1104.85,1110.96,1100.97,1107.38
4/30/21,1094.45,1100.61,1091.17,1097.69
5/3/21,1100.89,1107.09,1093.59,1100.16
5/4/21,1096.01,1102.18,1084.05,1090.61
5/5/21,1098.2,1105.2,1086.84,1093.52
5/6/21,1106.18,1113.82,1092.74,1099.71
5/7/21,1111.9,1119.85,1103.1,1110.36
5/10/21,1105.55,1113.8,1096.28,1103.64
5/11/21,1093.4,1101.6,1084.06,1091.4
5/12/21,1072.28,1080.36,1064.78,1072.07
5/13/21,1084.48,1093.06,1067.05,1074.63
5/14/21,1098.5,1107.37,1084.36,1092.16
5/17/21,1097.48,1106.36,1083.59,1091.46
5/18/21,1090.09,1099,1084.84,1092.84
5/19/21,1087.01,1095.91,1078.17,1086.2
5/20/21,1097.85,1106.92,1088.03,1096.32
5/21/21,1099.9,1109,1088.8,1097.16
5/24/21,1106.21,1115.42,1095.82,1104.44
5/25/21,1103.51,1112.7,1096.82,1105.53
5/26/21,1103.69,1112.9,1100.15,1108.9
5/27/21,1104.8,1114.02,1101.69,1110.59
5/28/21,1108.17,1117.58,1104.97,1114.03
5/31/21,1107.25,1116.64,1105.39,1114.51
6/1/21,1107.31,1116.69,1109.83,1119.05
6/2/21,1107.94,1117.51,1110.96,1120.28
6/3/21,1104.7,1114.65,1105.89,1115.31
6/4/21,1113.22,1123.25,1113.32,1122.84
6/7/21,1114.61,1124.66,1115.43,1125.01
6/8/21,1114.24,1124.32,1116.38,1126
6/9/21,1112.47,1122.63,1113.78,1123.45
6/10/21,1117.36,1127.58,1117.16,1126.91
6/11/21,1118.78,1129,1119.71,1129.52
6/14/21,1117.5,1127.94,1121.55,1131.54
6/15/21,1118.68,1129.21,1119.6,1129.63
6/16/21,1111.29,1121.8,1116.13,1126.16
6/17/21,1104.69,1115.12,1110.37,1120.42
6/18/21,1088.19,1098.49,1096.37,1106.35
6/21/21,1103.16,1113.59,1104.58,1114.7
6/22/21,1106.82,1117.26,1110.38,1120.56
6/23/21,1100.58,1110.96,1111.13,1121.35
6/24/21,1111.96,1122.59,1116.94,1127.39
6/25/21,1115.91,1126.61,1122.24,1132.77
6/28/21,1113.3,1123.99,1121.51,1132.1
6/29/21,1113.79,1124.7,1120.48,1131.33
6/30/21,1111.08,1121.99,1118.09,1128.97
7/1/21,1116.26,1127.22,1120.83,1131.82
7/2/21,1121.04,1132.02,1124.51,1135.64
7/5/21,1121.25,1132.23,1126.19,1137.4
7/6/21,1115.55,1126.46,1121.7,1132.93
7/7/21,1117.89,1128.84,1122.19,1133.53
7/8/21,1106.92,1118.52,1110.8,1122.25
7/9/21,1119.2,1130.94,1121.88,1133.47
7/12/21,1123.46,1135.26,1127.34,1139
7/13/21,1122.79,1134.57,1124.52,1136.16
7/14/21,1125.32,1137.22,1122.9,1134.64
7/15/21,1122.25,1134.12,1118.69,1130.42
7/16/21,1116.12,1127.95,1111.41,1123.07
7/19/21,1097.7,1109.35,1093.22,1104.75
7/20/21,1114.04,1125.88,1103.1,1114.74
7/21/21,1124.34,1136.27,1114.06,1125.84
7/22/21,1125.02,1136.97,1117.78,1129.7
7/23/21,1133.79,1145.83,1123.8,1135.86
7/26/21,1135.58,1147.63,1123.62,1135.73
7/27/21,1133.39,1145.46,1117.06,1129.11
7/28/21,1133.29,1145.37,1119.91,1132
7/29/21,1142.39,1154.92,1128.98,1141.29
7/30/21,1139.41,1152.06,1121.03,1133.34
8/2/21,1137.01,1149.67,1125.26,1137.65
8/3/21,1145.83,1158.61,1129.56,1142
8/4/21,1137.59,1150.27,1127.91,1140.36
8/5/21,1143.52,1156.48,1133.51,1146.13
8/6/21,1145.54,1158.52,1131.35,1144.03
8/9/21,1142.6,1155.83,1131.03,1143.76
8/10/21,1142.49,1155.77,1132.4,1145.17
8/11/21,1142.94,1156.23,1135.62,1148.48
8/12/21,1142.86,1156.58,1136.67,1149.9
8/13/21,1147.64,1161.5,1137.83,1151.16
