Segment_Value,Segment_Type,N,Avg_MDD_Pct,Avg_Underwater_Days,Avg_Monthly_HR_Pct,Avg_Up_Capture_Pct,Avg_Dn_Capture_Pct,Avg_Down_Month_HR_Pct,Avg_Worst_Month_HR_Pct
Utilities,Sector,5,-37.24,684.2,52.33,58.82,56.17,61.0,73.33
Industrials,Sector,25,-37.51,491.0,51.87,113.4,105.5,47.0,60.0
Information Technology,Sector,23,-48.41,638.57,50.22,135.42,131.13,46.74,49.28
Financials,Sector,14,-36.13,585.14,49.17,94.85,86.52,53.93,59.52
Materials,Sector,5,-40.29,468.8,48.33,85.75,79.38,51.0,66.67
Consumer Discretionary,Sector,13,-54.62,824.15,47.82,128.73,131.3,46.54,46.15
Health Care,Sector,13,-39.56,712.77,47.44,61.3,54.95,52.31,71.79
Consumer Staples,Sector,11,-40.36,659.27,44.85,42.23,40.31,55.0,78.79
Consumer Services,Industry_Group,3,-43.69,353.0,53.89,88.75,76.19,68.33,88.89
Capital Goods,Industry_Group,19,-37.94,472.05,52.54,123.11,114.69,45.26,54.39
Utilities,Industry_Group,5,-37.24,684.2,52.33,58.82,56.17,61.0,73.33
Commercial & Professional Services,Industry_Group,4,-33.28,536.0,52.08,83.55,74.16,57.5,91.67
Insurance,Industry_Group,5,-27.75,286.0,52.0,77.48,58.43,64.0,73.33
Semiconductors & Semiconductor Equipment,Industry_Group,5,-58.98,744.0,51.0,192.81,180.72,45.0,13.33
Software & Services,Industry_Group,12,-42.23,607.25,50.28,98.12,97.26,50.42,69.44
Technology Hardware & Equipment,Industry_Group,6,-51.94,613.33,49.44,162.2,157.53,40.83,38.89
Materials,Industry_Group,5,-40.29,468.8,48.33,85.75,79.38,51.0,66.67
"Pharmaceuticals, Biotechnology & Life Sciences",Industry_Group,7,-37.44,560.86,48.1,55.67,46.22,58.57,85.71
"Food, Beverage & Tobacco",Industry_Group,5,-38.07,615.2,48.0,59.39,46.69,53.0,80.0
Banks,Industry_Group,3,-43.76,813.0,47.78,116.79,112.69,41.67,33.33
Financial Services,Industry_Group,6,-39.31,720.5,47.5,98.34,96.85,51.67,61.11
Health Care Equipment & Services,Industry_Group,6,-42.03,890.0,46.67,67.88,65.14,45.0,55.56
Automobiles & Components,Industry_Group,6,-59.1,1027.17,46.11,149.67,160.2,37.5,27.78
Consumer Discretionary Distribution & Retail,Industry_Group,3,-61.52,945.67,43.89,147.24,155.44,38.33,44.44
Household & Personal Products,Industry_Group,5,-43.39,679.6,41.67,30.78,39.56,56.0,73.33
Japan,Country,3,-39.35,628.33,51.67,54.59,34.29,68.33,66.67
Ireland,Country,5,-40.65,772.0,51.0,115.45,113.3,39.0,46.67
France,Country,5,-36.71,401.6,50.33,65.71,62.84,58.0,86.67
Canada,Country,3,-43.47,792.67,50.0,107.81,98.97,45.0,55.56
United States,Country,82,-43.0,619.5,48.92,109.65,105.75,48.05,56.91
Switzerland,Country,3,-54.71,944.0,42.22,105.37,118.95,43.33,33.33
"Over 100,000 employees",Workforce_Size,28,-43.2,627.36,51.55,106.96,99.95,48.39,52.38
"25,000 - 49,999 employees",Workforce_Size,26,-38.87,569.54,49.1,85.41,74.96,54.81,64.1
"15,000 - 24,999 employees",Workforce_Size,16,-42.79,620.44,49.06,106.78,104.9,47.5,62.5
"10,000 - 14,999 employees",Workforce_Size,13,-43.43,641.62,48.85,97.89,96.84,46.54,64.1
"50,000 - 100,000 employees",Workforce_Size,24,-41.83,650.58,47.78,107.97,106.28,47.92,56.94
"5,000 - 9,999 employees",Workforce_Size,4,-56.81,823.25,46.67,138.79,146.08,43.75,50.0
"$25,000,000,001 - $50,000,000,000",Revenue,26,-38.78,570.31,50.38,102.76,93.89,50.38,57.69
"$50,000,000,001 - $75,000,000,000",Revenue,10,-39.47,619.1,49.83,87.35,81.78,49.5,46.67
"$10,000,000,001 - $25,000,000,000",Revenue,38,-41.49,619.71,49.52,99.24,94.66,51.18,63.16
"$5,000,000,001 - $10,000,000,000",Revenue,17,-44.54,680.47,49.31,113.77,109.93,50.29,64.71
"Greater than $75,000,000,000",Revenue,10,-44.74,689.9,48.33,93.88,86.15,51.0,53.33
"$1,000,000,001 - $5,000,000,000",Revenue,12,-50.05,671.75,46.39,102.54,106.36,42.08,58.33
Public,Structure,113,-42.34,629.17,49.28,101.06,96.13,49.73,59.29
