Ticker,Max_Drawdown_Pct,Beats_Benchmark
CPG,-17.881508078994695,True
WM,-18.13473666624902,True
HIG,-18.62068965517243,True
IBM,-19.817641776611158,True
AFL,-19.85862239026794,True
RSG,-20.49689440993788,True
LIN,-22.81429094012929,True
GWW,-24.5038540830097,True
AMGN,-24.85974888371559,True
SAN,-26.171428571428564,True
GILD,-26.587398872272622,True
HON,-27.130738522954168,False
ALL,-27.344822327283815,False
BMO,-27.470986836981016,False
MA,-28.25105164004238,False
UNM,-28.295702840495316,False
V,-28.60209726694728,False
IBE,-28.846153846153832,False
ACM,-29.04502351974908,False
CL,-29.048843187660555,False
PFG,-29.310956151755086,False
OR,-29.91955790271188,False
MOTV3,-29.946929492039416,False
INGR,-29.953333333333358,False
PEP,-30.323193916349734,False
CMI,-30.500449016246158,False
KMB,-30.81122698957098,False
PAYX,-30.944415851775563,False
ALC,-31.189670302118554,False
CME,-31.7410112098238,False
FTV,-32.097710966860255,False
HUBB,-32.64627803077709,False
HSIC,-32.698999565028345,False
WDAY,-32.840059790732305,False
HCLTECH,-33.036207304567384,False
PRU,-33.10851620696603,False
DE,-33.81127362682228,False
TEL,-34.264238968444324,False
LECO,-34.287529280978276,False
XEL,-34.40766550522644,False
ETN,-34.46101840424963,False
CemexCPO,-34.47538826006836,False
BIMBOA,-34.47538826006836,False
LLY,-34.47538826006836,False
LH,-34.605963998289305,False
INFY,-35.557406237436076,False
SU,-35.97597961907069,False
SJM,-36.658371353518554,False
LDOS,-36.86381009857177,False
6501,-38.700372911387184,False
EDP,-39.013452914798314,False
HCA,-39.48415678029733,False
4452,-39.55532080427692,False
6758,-39.78493878173573,False
FLEX,-39.99100314889789,False
VZ,-40.316027088036044,False
CBRE,-40.380779691749765,False
TT,-40.52680221811466,False
ACN,-41.020308608693476,False
G,-41.309923061747796,False
BG,-41.49180038793847,False
TKR,-42.050059594755766,False
JCI,-42.32470840595261,False
AOS,-42.67539992442381,False
ATRL,-42.71356783919602,False
HPQ,-43.30117899249731,False
ECL,-43.70001777145901,False
CTSH,-43.76578645235352,False
AIZ,-44.63859765906697,False
ROK,-45.09148864437434,False
MDT,-45.105043803691444,False
SW,-45.42936288088639,False
CAP,-46.03851444291615,False
NVT,-46.680967703491824,False
ZBH,-47.580741985832894,False
NOKIA,-47.60000000000004,False
OSK,-47.745399984206074,False
IP,-47.99035369774927,False
000660,-48.19500825571414,False
HPE,-48.35996635828429,False
PSN,-51.1517077045274,False
NOW,-51.300320627003934,False
FITB,-51.67053364269132,False
ADSK,-51.994039793145795,False
USB,-52.127659574468154,False
GPK,-52.488231338264924,False
BBY,-52.59728825497444,False
PINC,-52.727272727272634,False
FDX,-53.69842043003267,False
ADM,-54.13021247585505,False
JLL,-55.54381105117373,False
BAH,-55.954232392801664,False
LRCX,-56.395182104961236,False
SIG,-57.11872360394183,False
MU,-57.63201049524434,False
CRM,-58.61742424242426,False
PFE,-58.96024464831806,False
GM,-58.96263597666726,False
DELL,-59.59085162624985,False
LEA,-59.627294846272925,False
LONN,-59.837770654804714,False
MGA,-60.21728861596595,False
WDC,-60.853847478051236,False
MRVL,-61.88041787063791,False
AES,-63.431952662721905,False
ITRI,-65.264732773668,False
RCL,-67.74735075018363,False
INTC,-70.80045095828638,False
GT,-72.20381110190549,False
APTV,-73.09678868178763,False
LNC,-73.13211281543795,False
CRI,-74.8375216637781,False
NATU3,-87.59011328527293,False
