Metric,Value
Full-Period Avg Upside Capture,101.1%
Full-Period Avg Downside Capture,96.1%
Upside Capture T-test vs 100%,0.8260
Upside Capture T-test sig,ns
Upside Capture Wilcoxon p,0.7999
Upside Capture Wilcoxon sig,ns
Downside Capture T-test vs 100%,0.4510
Downside Capture T-test sig,ns
Downside Capture Wilcoxon p,0.3153
Downside Capture Wilcoxon sig,ns
Bootstrap % Up Capture > 100% - Point Est,47.7%
Bootstrap % Up Capture > 100% - CI Lower,27.4%
Bootstrap % Up Capture > 100% - CI Upper,64.6%
Bootstrap % Up Capture > 100% - p-value,0.5731
Bootstrap % Dn Capture < 100% - Point Est,54.6%
Bootstrap % Dn Capture < 100% - CI Lower,33.6%
Bootstrap % Dn Capture < 100% - CI Upper,72.6%
Bootstrap % Dn Capture < 100% - p-value,0.2929
