Ticker,Max_Drawdown,Monthly_Hit_Rate,Upside_Capture,Downside_Capture,Down_Month_Hit_Rate,Worst_Month_Hit_Rate,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure
LLY,-0.34475388260068357,0.6166666666666667,0.7735966512314774,0.31554753528660506,0.65,1.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"25,000 - 49,999 employees","$25,000,000,001 - $50,000,000,000",Public
V,-0.2860209726694728,0.4666666666666667,0.9307324769444278,0.9024541177410593,0.5,0.6666666666666666,Communication Services,Telecommunication Services,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public
MA,-0.2825105164004238,0.4666666666666667,1.0404232622571667,1.0269261508185965,0.45,0.3333333333333333,Financials,Financial Services,United States,"25,000 - 49,999 employees","$25,000,000,001 - $50,000,000,000",Public
CRM,-0.5861742424242427,0.4666666666666667,1.4140009828570799,1.495955002495034,0.5,0.6666666666666666,Information Technology,Software & Services,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
IBM,-0.19817641776611158,0.6,0.8436503834730443,0.6388918971467601,0.6,1.0,Information Technology,Software & Services,United States,"Over 100,000 employees","$50,000,000,001 - $75,000,000,000",Public
LIN,-0.2281429094012929,0.4666666666666667,0.8349917872180982,0.7857526312151332,0.5,0.6666666666666666,Materials,Materials,United Kingdom,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
PEP,-0.30323193916349733,0.45,0.28505788072325816,0.2747035918995216,0.6,1.0,Consumer Staples,"Food, Beverage & Tobacco",United States,"Over 100,000 employees","Greater than $75,000,000,000",Public
OR,-0.2991955790271188,0.5,0.6412721849096701,0.6379599718671674,0.5,1.0,Consumer Staples,Household & Personal Products,France,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
ACN,-0.41020308608693473,0.5,1.0403416714437907,1.1256084051965225,0.3,0.3333333333333333,Information Technology,Software & Services,Ireland,"Over 100,000 employees","$50,000,000,001 - $75,000,000,000",Public
VZ,-0.40316027088036044,0.36666666666666664,0.30519512247999697,0.34098508195542326,0.5,0.6666666666666666,Financials,Financial Services,United States,"25,000 - 49,999 employees","Greater than $75,000,000,000",Public
AMGN,-0.2485974888371559,0.5,0.5542218403931217,0.4662469413901322,0.6,1.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"25,000 - 49,999 employees","$25,000,000,001 - $50,000,000,000",Public
NOW,-0.5130032062700394,0.4,1.6573749831071978,1.7130829750289283,0.45,0.3333333333333333,Information Technology,Software & Services,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
6758,-0.39784938781735735,0.5166666666666667,0.6751501181353659,0.5072562247405598,0.6,0.3333333333333333,Consumer Discretionary,Consumer Durables & Apparel,Japan,"Over 100,000 employees","Greater than $75,000,000,000",Public
PFE,-0.5896024464831806,0.38333333333333336,0.40796993835751866,0.4672980144998228,0.45,1.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"50,000 - 100,000 employees","$50,000,000,001 - $75,000,000,000",Public
GILD,-0.2658739887227262,0.55,0.5309041559849236,0.3245565658954659,0.75,1.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"15,000 - 24,999 employees","$25,000,000,001 - $50,000,000,000",Public
HON,-0.2713073852295417,0.45,0.8184571454150286,0.8929384020893979,0.45,0.3333333333333333,Industrials,Capital Goods,United States,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
SAN,-0.2617142857142856,0.45,0.17539589744273715,0.10131441864631369,0.65,1.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",France,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
SU,-0.3597597961907069,0.5333333333333333,1.1305822280590705,1.0410881502519194,0.5,0.3333333333333333,Industrials,Capital Goods,France,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
DE,-0.3381127362682228,0.48333333333333334,1.0599994303399272,1.0018387406086513,0.5,0.3333333333333333,Industrials,Capital Goods,United States,"50,000 - 100,000 employees","$50,000,000,001 - $75,000,000,000",Public
MDT,-0.4510504380369144,0.4666666666666667,0.6236492365196032,0.7005808725682977,0.5,0.6666666666666666,Health Care,Health Care Equipment & Services,Ireland,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
ETN,-0.34461018404249627,0.5666666666666667,1.4434486593701834,1.3247007165830353,0.45,0.6666666666666666,Industrials,Capital Goods,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
6501,-0.3870037291138718,0.65,0.868428496770001,0.4107516202853561,0.75,0.6666666666666666,Industrials,Capital Goods,Japan,"Over 100,000 employees","Greater than $75,000,000,000",Public
IBE,-0.2884615384615383,0.5833333333333334,0.3923574390914148,0.25943040013300017,0.7,0.6666666666666666,Utilities,Utilities,Spain,"25,000 - 49,999 employees","$50,000,000,001 - $75,000,000,000",Public
INTC,-0.7080045095828638,0.4666666666666667,1.6374340448413167,1.7974370275971794,0.5,0.0,Information Technology,Semiconductors & Semiconductor Equipment,United States,"50,000 - 100,000 employees","$50,000,000,001 - $75,000,000,000",Public
MU,-0.5763201049524433,0.5666666666666667,2.202545898444499,2.0186070101521274,0.45,0.0,Information Technology,Semiconductors & Semiconductor Equipment,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
