Ticker,Max_Drawdown_Pct,Time_Underwater_Days,Recovery_Days,Monthly_Hit_Rate_Pct,Upside_Capture_Pct,Downside_Capture_Pct,Down_Month_HR_Pct,Worst_Month_HR_Pct,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure,CAPM_Alpha_Ann_Pct,CAPM_Beta,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Sortino_Ratio,Info_Ratio,Total_Return_Pct
LLY,-34.47538826006836,309,66.0,61.66666666666667,77.35966512314774,31.554753528660505,65.0,100.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"25,000 - 49,999 employees","$25,000,000,001 - $50,000,000,000",Public,35.07911140457498,0.6027764960760282,41.720740046220065,31.36707945230314,1.3300804784730031,1.88873998358621,0.9980758755143795,570.7239309827455
V,-28.60209726694728,547,240.0,46.666666666666664,93.07324769444278,90.24541177410593,50.0,66.66666666666666,Communication Services,Telecommunication Services,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public,1.1764884523280736,1.009961416241156,12.304640781973102,22.24920343452979,0.5530373623568401,0.7559037322874663,0.07324861601018169,66.25813500546343
MA,-28.25105164004238,367,188.0,46.666666666666664,104.04232622571668,102.69261508185966,45.0,33.33333333333333,Financials,Financial Services,United States,"25,000 - 49,999 employees","$25,000,000,001 - $50,000,000,000",Public,-0.1971764024917723,1.1470971415973927,12.441991315523476,23.70567753396758,0.5248528036245956,0.7101559928719426,0.0789563630343775,64.53167845287919
CRM,-58.61742424242426,603,315.0,46.666666666666664,141.400098285708,149.5955002495034,50.0,66.66666666666666,Information Technology,Software & Services,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,-6.84347028464911,1.496034873555757,9.640430679954187,34.630575086659064,0.2783791679990906,0.3749142329284761,-0.04769563737275023,20.49031201673792
IBM,-19.817641776611158,223,40.0,60.0,84.36503834730443,63.88918971467601,60.0,100.0,Information Technology,Software & Services,United States,"Over 100,000 employees","$50,000,000,001 - $75,000,000,000",Public,16.318988468615782,0.7094030840975624,24.135470817355984,23.188957566286685,1.040817412700146,1.3651652882039564,0.6108733684442748,203.01440329217985
LIN,-22.81429094012929,232,42.0,46.666666666666664,83.49917872180981,78.57526312151332,50.0,66.66666666666666,Materials,Materials,United Kingdom,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,2.435370063114478,0.9378398434917687,12.768858522533874,20.62819046468679,0.6190004181119408,0.8713072822483184,0.10747955935346741,73.3786036677106
PEP,-30.323193916349734,688,,45.0,28.505788072325817,27.47035918995216,60.0,100.0,Consumer Staples,"Food, Beverage & Tobacco",United States,"Over 100,000 employees","Greater than $75,000,000,000",Public,0.15261875124311874,0.33931303766832105,3.891303328581519,17.56780526843518,0.2215019616350819,0.3094007248564629,-0.3718043871916912,12.9100778852965
OR,-29.91955790271188,426,,50.0,64.12721849096701,63.79599718671673,50.0,100.0,Consumer Staples,Household & Personal Products,France,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,0.17826638412021242,0.6468796343805682,7.305840759311183,23.246327370132338,0.3142793544539845,0.48009710610099265,-0.16829644883657566,26.91708499221077
ACN,-41.020308608693476,809,,50.0,104.03416714437907,112.56084051965225,30.0,33.33333333333333,Information Technology,Software & Services,Ireland,"Over 100,000 employees","$50,000,000,001 - $75,000,000,000",Public,-7.5826289858762,1.1676699070916436,5.2832175582610805,25.492698832335652,0.2072443405466235,0.28390590563823126,-0.2848160773178729,11.067621585609544
VZ,-40.316027088036044,1212,,36.666666666666664,30.519512247999696,34.09850819554233,50.0,66.66666666666666,Financials,Financial Services,United States,"25,000 - 49,999 employees","Greater than $75,000,000,000",Public,-2.66520757109672,0.3116700149584141,0.7688953037915451,20.273901070732453,0.03792537514654877,0.04905679768134268,-0.46783819192733317,-6.448598130840821
